iter	Passed	Remaining
0	169	169799
1	171	85496
2	190	63208
3	191	47749
4	194	38617
5	195	32448
6	196	27938
7	198	24556
8	199	21917
9	200	19817
10	201	18139
11	203	16767
12	205	15571
13	207	14588
14	209	13740
15	210	12951
16	211	12250
17	213	11644
18	215	11132
19	217	10678
20	220	10284
21	223	9946
22	225	9564
23	228	9303
24	230	8983
25	231	8685
26	234	8439
27	235	8182
28	238	7969
29	239	7738
30	240	7515
31	241	7308
32	243	7122
33	244	6939
34	245	6770
35	246	6613
36	248	6459
37	249	6322
38	251	6186
39	253	6078
40	254	5954
41	255	5835
42	257	5721
43	261	5683
44	262	5576
45	264	5478
46	265	5379
47	266	5286
48	268	5204
49	269	5119
50	270	5036
51	271	4955
52	272	4877
53	274	4809
54	275	4740
55	276	4668
56	278	4601
57	279	4536
58	280	4474
59	281	4415
60	283	4361
61	284	4304
62	285	4247
63	286	4192
64	288	4146
65	289	4093
66	290	4042
67	291	3992
68	292	3944
69	293	3903
70	294	3858
71	295	3813
72	297	3774
73	298	3734
74	299	3695
75	300	3655
76	301	3616
77	302	3578
78	303	3541
79	304	3504
80	305	3469
81	306	3435
82	307	3401
83	308	3369
84	310	3338
85	311	3307
86	313	3286
87	314	3258
88	315	3230
89	316	3203
90	317	3175
91	319	3150
92	320	3123
93	321	3097
94	322	3075
95	324	3052
96	325	3027
97	326	3003
98	327	2982
99	329	2961
100	330	2939
101	331	2918
102	332	2895
103	333	2873
104	334	2852
105	335	2831
106	336	2811
107	337	2791
108	339	2771
109	340	2752
110	341	2733
111	342	2715
112	343	2697
113	344	2678
114	345	2660
115	346	2642
116	347	2625
117	348	2608
118	350	2591
119	351	2574
120	352	2558
121	353	2542
122	354	2527
123	355	2511
124	356	2495
125	357	2482
126	359	2467
127	360	2452
128	361	2438
129	362	2424
130	363	2410
131	364	2395
132	365	2382
133	366	2368
134	367	2355
135	369	2344
136	370	2334
137	371	2322
138	373	2313
139	374	2302
140	376	2292
141	377	2280
142	378	2269
